,library_name,state,type_of_elimination,fine_free_date,official_policy_link,library_url
115,Plano Public Library,TX,Everyone,9/24/18,https://www.plano.gov/2500/Get-a-Library-Card-Borrowing,https://www.plano.gov/203/Library
116,Weymouth Public LIbraries,MA,No Fines,9/24/18,NA,https://www.weymouth.ma.us/weymouth-public-libraries
120,Selbyville Public Library,DE,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",9/1/18,NA,www.selbyvillelibrary.org
122,Kitsap Regional Library,WA,Everyone,8/16/18,https://www.krl.org/borrowing,https://www.krl.org/
141,Racine Public Library,WI,Everyone,3/15/18,https://www.racinelibrary.info/borrowing-materials/,https://www.racinelibrary.info/
159,Lewis Cooper Jr. Memorial Library,AL,No Fines,10/1/17,NA,www.cooperlibrary.com
162,Nashville Public Library,TN,Everyone,7/5/17,https://library.nashville.org/checkouts-renewals-holds,https://library.nashville.org/
165,Santa Clara City Library,CA,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",7/1/17,http://santaclaraca.gov/government/departments/library/using-the-library#fines,sclibrary.org
170,Washington County Cooperative Library Services,OR,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",6/1/17,https://www.wccls.org/borrowing-policies,https://www.wccls.org/
181,Rochester Public Library,NY,Children and Teens Only,1/1/17,NA,https://roccitylibrary.org/