"","library_name","ulc_member","type_of_elimination","reason_for_stopping_fines","lat","long","source","policy_notes"
"1","Enoch Pratt Free Library","TRUE","Everyone","Analysis by the Pratt and other libraries shows that fining customers affects lower-income users disproportionately, and punishes children who might have limited control over returning books on time. About 2,500 of the Pratt’s blocked cards belong to children and teens.

The branches with the most blocked users are the main library downtown, the Pennsylvania Avenue branch in West Baltimore and the Southeast Anchor Library near Highlandtown. All serve high concentrations of customers living in poverty, who are most in need of the library’s services, such as access to computers and the internet, help with homework and free classes.",39.301996,-76.615875,"http://www.baltimoresun.com/news/maryland/baltimore-city/bs-md-ci-pratt-fine-free-20180518-story.html",NA
"2","Delaware County District Library","FALSE","Everyone",NA,40.300202,-83.064532,"https://www.delawarelibrary.org/node/1256","DCDL users pay no fines on overdue materials. Fees for lost or damaged items  remain."
"3","Orange Beach Public Library","FALSE","Everyone","Many library administrators feel that fines are a barrier to access (especially for low-income families), cost the library significant staff time, are antithetical to our mission and principles, set up an adversarial relationship, or prevent implementation of services such as autorenewal."" said Library Director Steven A Gillis",30.293224,-87.577132,"https://lj.libraryjournal.com/2017/04/budgets-funding/doing-fines-fines-fees/#_",NA
"4","Davis County Library","FALSE","Everyone",NA,40.978588,-111.887169,"https://www.daviscountyutah.gov/library/blog/how-do-i/2016/10/24/check-out-periods-fines","A lost fee will be charged for an item that is 45 days overdue. Returning the item will remove this fee"
"5","Bellingham Public Library","FALSE","Children and Teens Only",NA,48.754157,-122.478842,"https://www.bellinghampubliclibrary.org/",NA
"6","High Plains Public Library system","FALSE","Everyone","The overall loss is insignificant in the overall budget compared to the impact of increasing circulation. Director Reid says 95 percent of books are still returned within a week of the due date and there has been no loss of trust with the community.",40.409079,-104.779676,"https://www.9news.com/article/news/education/libraries-consider-dropping-late-fines-and-fees-to-bring-families-back/403013233","No fines except for movies and equipment"
"7","Berkley Public Library","TRUE","Everyone","The decision to end overdue fees came after the library administration and Board of Library Trustees realized that the 11,000 people blocked from taking out books because of unpaid overdue fees came from Berkeley’s lowest-income zip codes — 94702, 94703 and 94710. While charging late fees had originally been meant to encourage people to return books on time, it ended up acting as a barrier to use for many, particularly those with low incomes, according to Elliot Warren, the acting director of the library. “Public libraries are the people’s university and we need to make sure they are accessible to everyone,” said Warren in a statement. “The current practice unintentionally tells some people they are not welcome.”",37.868321,-122.268418,"https://www.berkeleyside.com/2018/06/08/berkeley-public-library-to-end-late-fees-for-teen-and-adult-books",NA
"8","Salt Lake City Public Library","TRUE","Everyone","In his recommendation to the Board, City Library Executive Director Peter Bromberg wrote, “Fines have not been shown to be an effective deterrent to the late return of materials. However, fines have been shown to act as an inequitable barrier to service, disproportionately impacting children and community members with the least financial resources…. Late fines are therefore in opposition to the Library’s core values of equitable service, fostering early literacy, and barrier-free access to information and services. From both a mission and a values standpoint, late fines should be eliminated.”",40.760144,-111.884944,"http://slcpl.org/news/index/112","The library will still block library cards and bill for the value of unreturned materials when they are four weeks overdue"
"9","Gadsen Public Library","FALSE","Everyone","The majority of users with a balance are children younger than 18.  Library Director Amanda Jackson said that she wanted GPL to be a welcoming place, and felt that she did not want not ability to pay a fine to be a barrier for people wanting to use the library.",34.002433,-85.985031,"http://www.gadsdentimes.com/article/DA/20150720/News/603235338/GT/","No overdue fines, patrons still pay the cost of lost items. If patrons cannot pay back cost of lost items, the library allows them to volunteer to make up for lost material, equaling the rate of minimum wage. "
"10","San Diego Public Library","TRUE","Everyone","Head librarian Misty Jones said overdue fines are being eliminated to avoid cutting the poor off from a vital service and to boost recovery of overdue items.
She said fines actually do more harm than good by discouraging some patrons, especially those with low incomes, from continuing to use the library.
More than 128,000 library card holders are blocked from checking out materials because of delinquent fines, including more than 13,000 juveniles.",32.708841,-117.154196,"http://www.sandiegouniontribune.com/news/politics/sd-me-library-fines-20180418-story.html",NA
"11","Yankton Community Library","FALSE","Everyone","""The research has shown that fines don’t actually encourage people to bring books back any sooner,"" said Library Director Tonya Olson Ferrell. ""They kind of just bring them back when they’re gonna bring them back.""According to her, libraries around the country began to realize that not only do fines not generate that much money, they actually prevent kids and lower-income individuals from using the libraries.""We really wanted to get away from the punitive side of things,"" she said. ""Ten cents a day might not seem like a big thing to you or me, but for somebody, that might be a real barrier to using the library."" Initially, the thought was to stop fining kids for late books, because they have so little control over when they can actually make it to the library. But kids aren’t the only ones who have to worry about unreliable transportation. The conversation evolved from there.",42.873513,-97.394243,"https://www.yankton.net/community/article_752b2b9e-dfbd-11e7-9538-efc61db2d8e4.html",NA
"12","Abilene Public Library","FALSE","Everyone","""A lot of people don't want to use books from the library if they're getting fines charged to them.""",32.450937,-99.735723,"https://www.bigcountryhomepage.com/news/main-news/all-branches-of-the-abilene-public-library-will-stop-fining-for-overdue-items-starting-oct-1/1480588788","other library systems started a new policy about five or six years ago that has shown to be effective."
"13","Summit County Library","FALSE","Everyone","“Fines are one of the number one negative customer experiences in the library,” Summit County Library Director Compton explained. “We also don’t want to create barriers for people, especially children, to come to the library if they do have late fees.”",40.645088,-111.280341,"https://www.kpcw.org/post/park-city-and-summit-county-librarians-report-fine-free-system-popular-move#stream/0",NA
"14","The McComb Public Library","FALSE","Everyone","Jane Schaffner, director of the McComb library, said the idea behind the change is to make sure books get into the hands of the public.",41.106832,-83.791312,"https://thecourier.com/life/life-news/2019/03/04/library-directors-fine-free-move-long-overdue/",NA
"15","Meridian Library District","FALSE","Children and Teens Only",NA,43.620083,-116.409105,"https://www.mld.org/service-charges-fines","Overdue fines will not be assessed on items from Meridian Library District's children and teen collections. Charges will be applied for lost or damaged materials from all collections.  Food for Fines: Nonperishable food items are accepted for overdue fines of $5.00 or less on each overdue item and donated to the Meridian Food Bank."
"16","San Rafael Public Library","FALSE","Children Only","The slow accumulation of overdue fines on youth materials can often lead to youth no longer using the library because their account is locked and they do not have the money to pay off their charges. Eliminating fines on youth materials (children’s and teens) takes down that barrier to library use and encourages our young residents to come back to the library.",37.975283,-122.53281,"https://srpubliclibrary.org/2015/04/07/nooverduefines/",NA
"17","Park City Library","FALSE","Everyone","When other Utah libraries implemented this vision, they found many benefits: increased number of library users, people returning materials in a more timely fashion, books checked out more frequently, friendly reminders helping to get books returned and no significant loss in funding.",40.650721,-111.503118,"https://parkcitylibrary.org/fine-free/",NA
"18","Nashville Public Library","TRUE","Everyone","According to Emily Waltenbaugh, public information officer with NPL, library staff were concerned about the number of accounts that had been blocked because of fines exceeding a $20 limit. They discovered that as many as 50,000 cards were blocked at any given time, out of a total of 300,000 cardholders. This is a “huge percentage,” she said, and the library was eager to “bring patrons back to the library.” Waltenbaugh said. “We just want the items back, we don’t want to profit off patrons.” According to NPL Director Kent Oliver, “Accessibility for all in our community is a core value for Nashville Public Library; it’s at the center of how we view our library. That’s why it makes sense to do away with late fines.”",36.162306,-86.781807,"https://lj.libraryjournal.com/2017/07/funding/nashville-salt-lake-city-columbus-eliminate-fines/","Lost or damaged fees will apply"
"19","DC Public Library","TRUE","Everyone","The fee change is designed to minimize the barriers to checking out and returning library books. ",38.898943,-77.02447,"https://www.dclibrary.org/node/30319","Items that are 30 days or more overdue will have a “long overdue” flat fee of $5 per item.  Items that are overdue 60 days or more will be considered lost or damaged and will carry an additional fee ranging from $8 - $20 depending on the type of item (i.e., magazine, paperback, hardcover, DVD, etc.), in addition to the “long overdue” $5 fee.  In addition to a new fee structure, the maximum fee that users can accrue before the Library blocks their account from checking out books will rise from $15 to $40."
"20","ImagineIF Library","FALSE","Everyone","Most people do the right thing and return their materials on time. Because we believe that materials will be returned more promptly when our customers aren’t worried about being fined. Because you shouldn’t have to wait in line to pay a 10 cent fine. Because we want to spend quality time with you instead of taking your pennies.",48.373147,-114.18365,"http://imagineiflibraries.org/about-us/fine-free/","Customers will receive notification about overdue items and will be billed replacement costs for lost or damaged items. Items are considered lost after they are three weeks overdue. Borrowing privileges will be blocked until materials are returned or the library is compensated for lost materials.

Interlibrary loan items will continue to accrue an overdue fee of $1 per day.

Failure to return library items or pay for their replacement will result in having your account turned over to a materials recovery agency."
"21","Free Library of Philadelphia","TRUE","Children Only","“It is no easy task for the child to produce even a small amount of money to pay a fine. As a result, because of poverty or other circumstances in which the child lives, the library loses a young reader,” says Robert Heim, chairman of the library board. He  said the new policy will encourage students in low income families to keep coming.",39.955387,-75.202832,"http://philadelphia.cbslocal.com/2013/06/02/philadelphia-free-library-ends-late-fees-for-students/","No fines for children under 12"
"22","San Luis Obipson County library","FALSE","Everyone","“Our purpose is to be a free public library, with free being that active word there,” said Chris Barnickle, director of the San Luis Obispo County Libraries. “The policy came about as we were looking at the number of cardholders that we had blocked right now—we had over 800 children's cards blocked—and we felt like that was not serving our mission.”",35.282343,-120.662223,"https://www.kcbx.org/post/overdue-fines-soon-thing-past-slo-county-public-libraries#stream/0",NA
"23","Anythink","TRUE","Everyone",NA,39.987021,-104.819539,"https://www.anythinklibraries.org/about/policies",NA
"24","Fort Vancouver Regional Libraries","TRUE","Everyone","The cost of handling the money outweighed the benefit",45.630175,-122.661105,"http://www.fvrl.org/","Has been fine free since the 1960's"
"25","Multnomah County Library","TRUE","Children Only","For many, late fines are a real barrier that stops children and families from using and benefiting from the resources the public library offers. With the support of the Multnomah County Library District Board, our library is changing this practice.",45.520956,-122.619487,"https://multcolib.org/blog/20160607/opening-new-doors-library-no-more-youth-fines","No late fines for youth of young adult materials"
"26","The Findlay-Hancock County Public Library","FALSE","Everyone",NA,41.040059,-83.651641,"https://www.findlaylibrary.org/brrwpol",NA
"27","Santa Monica Public Library","TRUE","Children and Teens Only","1900 youth were unblocked and can now make stronger use of Santa Monica Public Library",34.018773,-118.49337,"https://smpl.org/Fines_and_Fees.aspx",NA
"28","Eagle Mountain Public Library","FALSE","Everyone","We felt [library fines are] actually a barrier to service for a lot of families.",40.309278,-112.011959,"https://www.facebook.com/Emlibrary/posts/10156516706829807?comment_id=10156516725984807&reply_comment_id=10156516869029807&comment_tracking=%7B%22tn%22%3A%22R%2314%22%7D",NA
"29","Algonquin Area Public Library District","FALSE","Everyone","Fines make up just less than $60,000 in revenue in the library’s $6 million budget. The vast majority of overdue items are less than a week overdue ",42.162368,-88.346267,"http://www.nwherald.com/2014/09/03/algonquin-area-library-to-stop-charging-overdue-fines/agbm8x8/"," Under the new policy, if an item is overdue by two weeks, the library will send the cardholder a bill for the item and suspend the borrowing privileges until the item is returned or the bill is settled. The library still will charge cardholders for lost or damaged items."
"30","Kitsap Regional Library","FALSE","Everyone","Kitsap Library Director Jill Jean says fines often prevent people from using the library so they wanted to remove that barrier.",47.595247,-122.624848,"https://www.koin.com/news/washington/washington-library-system-eliminates-late-fines/1381848752","The library, which serves about 258,000 residents, will still collect fees for lost or damaged materials.  The library instituted late fines in the mid-'90s as an incentive for people to bring materials back on time, but studies across the U.S. have shown the fines have little effect on returns."
"31","Floyd Memorial Library","FALSE","Everyone","Lisa Richland, director of Floyd Memorial Library in Greenport, NY, reports, “Folks who are dilatory about returns have not changed their habits, but the interaction at the circulation desk is much less fraught. My staff is not put in the position of punishing those who return items late, and we have a donation box for people who still have a need to pay a fine. “Even without fines, the majority of library materials do make their way back to the library eventually. Not only does this reduce staff stress levels, Richland explains, but it also helps the library maintain a “good name” in the community. “You never know what burdens people have, so we try not to judge or act in a hectoring manner.”",41.106316,-72.362403,"https://lj.libraryjournal.com/2017/04/budgets-funding/doing-fines-fines-fees/#_","Do not assess overdue fines but will not loan any materials until overdue items that are not renewable are returned"
"32","Columbus Metropolitan Library","TRUE","Everyone","“Removing barriers to get more materials into the hands of more customers brings us closer to achieving our vision of a thriving community where wisdom prevails,” said CML CEO Patrick Losinski. CML does not rely on the revenue generated from overdue fines.",39.9653,-82.991072,"https://www.columbuslibrary.org/press/columbus-metropolitan-library-eliminate-overdue-fines-beginning-jan-1-2017","Rather than imposing fines for overdue items, CML will defer to its longstanding policy of blocking library cards of customers who have materials 21 days or more overdue. This block prevents the customer from checking out more physical items until the long overdue materials have been returned. If an overdue item is not returned 35 days after its due date, it is deemed lost and the customer is charged a replacement fee. That fee would be removed if and when the customer returns the item. CML will continue to use regular customer notices to see overdue materials returned and a materials recovery agency to pursue debts from lost or damaged items."
"33","Vernon Area Public Library","FALSE","Everyone","The Vernon Area Public Library said overdue fines added up to only about half a percent of their annual budget, and eliminating the fines allows them to save money on the staff time and service costs needed to collect them. “Certainly a chunk of the revenue that we took in from fines was offset by the time we spent collecting that revenue, so if you owe us a dime, it’s going to take us more than a dime’s worth of effort to get that back from you,” spokeswoman Catherine Savage said.",42.198981,-87.93686,"https://docs.google.com/document/d/1ofejKeAdBOC8QLNGxN--4MZReFSKF5HZJ9zKs8jQ96k/edit","Send reminders and notices and expect things back in a timely manner. At 14 days after the due date, materials not returned or renewed are assumed lost and the borrower is billed for their replacement. Until those materials are paid for or returned, that person will be unable to check out anything else. "
"34","LA County Library","TRUE","Children Only","LA County Library wants to instill a love of libraries in children and make sure there isn’t a “library gap” between the more prosperous and the poor. The program for “reading away” library debt is especially important because the cost of damaged or lost materials can be high. In random surveys, 80% of parents said they are more likely to let children check out materials because of the more lenient policies.",34.030488,-117.843848,"http://www.latimes.com/local/lanow/la-me-edu-no-library-fines-20171225-story.html","No late fees for patrons under 21, and those patrons can read away existing fees"
"35","Dayton Metro Library","TRUE","Everyone","“Our goal is to make sure our patrons can enjoy all of the books, movies, music and services the Library offers,” said Tim Kambitsch, Dayton Metro Library Executive Director. “Accumulated overdue fines prevent some patrons from checking out books and other materials. It is more important that materials are returned so that others may borrow them, than it is to charge late fees that can add up and prevent someone from using their Library.”",39.760648,-84.187773,"https://www.urbanlibraries.org/files/New-Fines-Policy.pdf",NA
"36","Plano Public Library","FALSE","Everyone","“Our library is here to be used, and eliminating overdue fines removes barriers for those who most need our resources,” Director of Plano Public Libraries Libby Holtmann said Tuesday in a statement. “We hope that anyone who has hesitated to return materials due to overdue fines will come back and enjoy the library. ”The library staff was spending far more time managing activities related to patrons’ fines than is received in revenue.”",33.055189,-96.732636,"https://communityimpact.com/dallas-fort-worth/plano/city-county/2018/09/25/plano-public-library-scraps-overdue-fees-but-users-still-on-hook-for-lost-items/","Library patrons with overdue materials will be blocked from checking out new items."
"37","Howard Miller Public Library","FALSE","Children Only","Taking away overdue fees is a way to reduce barriers to access",42.811743,-86.014348,"https://www.hollandsentinel.com/news/20190125/zeeland-nixes-overdue-fees-for-childrens-library-books",NA
"38","Worthington Libraries","FALSE","Everyone","Fines make up less than 1 percent of the library’s annual revenue, and eliminating them won’t “significantly” affect the library’s budget, said library director Chuck Gibson. “But it will lessen the financial burden on library patrons, especially those who need our services the most. That is why the library board unanimously voted to make this change,”",40.090825,-83.01649,"http://www.dispatch.com/content/stories/local/2016/09/27/Worthington-Libraries-no-fines.html","fees for lost or damaged items will still be levied. For items that exceed 35 days past due, patrons will be billed for the item and their account turned over to a collection agency."
"39","Jefferson County Library","FALSE","Everyone","“Going fine-free removes a barrier to access for many, including those who struggle with transportation to return items or children with late fees on their accounts who are prevented from borrowing materials they need for school,” said Jefferson County Library Director Tamara Meredith",48.032716,-122.772509,"http://www.peninsuladailynews.com/news/jefferson-county-port-townsend-libraries-drop-late-fees/",NA
"40","Tampa-Hillsborough County Public Library","TRUE","Everyone","The library’s mission is to focus on open access to information and materials.",27.950898,-82.462352,"https://hcplc.org/books/bring-it-back","Still charged for lost and damaged items"
"41","Albuquerque and Bernalillo County Library System","TRUE","Everyone",NA,35.086142,-106.653215,"https://abqlibrary.org/librarycards/fineprint","Fine Free for over 25 years"
"42","Stanley Community Library","FALSE","Everyone",NA,44.215837,-114.938986,"http://stanley.lili.org/about-us/","The Stanley Community Library has never had fines"
"43","San Juan Island Library","FALSE","Everyone","In the 1990’s, the director at the time felt that fines were punitive and limited access to books.  Because we are a very small community (around 7,800 today), she didn't want the library to have any adversarial relationship with patrons over money, have to send patron bills to collection agencies, etc., and set up a situation that would keep people away from the Library.  ",48.536623,-123.030348,"https://www.sjlib.org/how-do-i/overdues-fines/","A conscience jar located at the check-in desk allows patrons to self-administer their own fines if they feel inclined."
"44","Fairbanks North Star Borough Public Libraries","FALSE","Everyone",NA,64.838073,-147.737144,"https://fnsblibrary.org/about/polpro/",NA
"45","San Mateo County Libraries","TRUE","Everyone","Studies have shown that late fines can be a significant barrier to library access and drive borrowers away, particularly among individuals with low or fixed incomes. Currently, 8% of all San Mateo County Libraries’ 165,000 cardholders currently have their cards blocked due to fines. In our lower-income communities, the number can be as high as 19%. Furthermore, the growing research has shown that fines do not actually incentivize patrons to return materials on time.",37.510702,-122.335115,"https://smcl.org/news/san-mateo-county-libraries-go-fine-free/",NA
"46","Chillicothe & Ross County Public Library","FALSE","Everyone",NA,39.329857,-82.981634,"https://woub.org/event/chillicothe-ross-county-library-now-fine-free/","If your item is more than 28 days late your card will be blocked"
"47","Wood County District Public Library","FALSE","Everyone","Director Michael Penrod cited several reasons for doing away with fines. He said they are keeping poor patrons away from the library and that many libraries have started doing away with them. ""Fines serve more as a barrier to service,"" he said. ""The person that pays the fines is a loyal patron who comes in and checks out books every month.""",41.376438,-83.651058,"https://www.sent-trib.com/news/wood-county-library-joins-growing-movement-by-going-fine-free/article_e717562a-b299-11e7-abc0-47f8f9643388.html",NA
"48","Manchester City Library","FALSE","Children and Teens Only","City library officials said they made the change after speaking to parents who said they weren’t library users because they were unable to pay fines. City leaders also said the elimination of the 25-cents-a-day fine should help encourage literacy and learning.",42.992283,-71.458824,"http://www.unionleader.com/education/manchester-libraries-eliminate-overdue-fines-for-children-teen-books-20181002",NA
"49","Austin Public Library","TRUE","Children Only","“Removing financial barriers to access is directly in line with the library’s efforts to improve equity, diversity and inclusion among its users,” said Roosevelt Weeks, Austin’s director of libraries.",30.265909,-97.751802,"https://www.statesman.com/news/20181001/austin-public-library-ends-overdue-fines-on-childrens-books",NA
"50","Manchester City Library","FALSE","Children and Teens Only","City library officials said they made the change after speaking to parents who said they weren’t library users because they were unable to pay fines. City leaders also said the elimination of the 25-cents-a-day fine should help encourage literacy and learning.",42.992283,-71.458824,"http://www.unionleader.com/education/manchester-libraries-eliminate-overdue-fines-for-children-teen-books-20181002",NA
"51","Hillsboro Public Library","TRUE","Children Only",NA,45.51474,-122.974823,"https://www.wccls.org/overdue-fine-rate-changes-faq","Part of the Washington County Cooperative Library Services, whose member libraries are all fine free for youth materials"
"52","Lincoln City Libraries","TRUE","Children Only","Library Director Pat Leach said that LCL research determined overdue fines have become an ineffective motivator to return books promptly.  She said fines are an unnecessary barrier for children who often lack the autonomy or ability to return library materials on time, and for families who cannot afford to pay them.",40.81292,-96.700716,"https://www.klkntv.com/story/39882169/lincoln-city-libraries-to-lift-late-fee-on-youth-materials",NA
"53","Port Townshend Public Library","FALSE","Everyone","“We know nationally, from research about late fines, that [fines] don’t actually get items back on time,” said Melody Eisler, Port Townsend Public Library director.  “[The fines] are punitive and they don’t inspire a lifelong love of reading and libraries.”  Eisler said the fines also are problematic for children. Because they can’t drive to the library, it’s easy for children to inadvertently rack up fines and then not be able to get what they need for school, she said.",48.116712,-122.763587,"http://www.peninsuladailynews.com/news/jefferson-county-port-townsend-libraries-drop-late-fees/","If an item has been checked out for four weeks it’s library policy to send the library user a bill for the item. If they return the item, they aren’t charged for it, she said."
"54","New London Public Library","FALSE","Everyone","Library Director Anne Lowery researched library policies and spoke to library professionals all over the country. “I talked to library people who actually work with local police to arrest people who keep books out too long. I’ve talked to libraries that don’t do fines and don’t have a problem losing material because of a lack of incentive to bring things back on time.  Fines have never been about revenue. Fines punish loyal patrons who just can’t get a book finished in time or elderly patrons who don’t want to venture out in bad weather just to return a book. Those irresponsible people who don’t care about the fine and aren’t going to return material regardless will always be part of the equation. We could fine them ten cents or $10 a day and turn them over the collections, they don’t care.” After much deliberation, she approached the Library Board of Trustees with the idea to eliminate fines. Once she explained her reasons and the results of her research, the Board agreed to change the policy. Staff, said Lowery, was more skeptical. “I asked staff if they really felt good about telling a kid that they weren’t allowed to check out a book because they owed a fine. I asked them if they enjoyed arguing with people over ten cents when those people were not going to follow the rules no matter what. Is that worth it?” Lowery said the biggest concern her staff expressed is that there would be no incentive for irresponsible patrons to bring things back on time without the fines. “I asked them if they really thought that $1 a day fine mattered to the people who weren’t intending to pay it in the first place. We’ve always had those people and will continue to see them come and go; with or without fines. I’d rather focus on the 99% of responsible patrons.”",41.084113,-82.398545,"https://newlondonpubliclibrary.org/fine-free-library","If you have overdue items, you will not be able to check out more material until those items are renewed or returned. If thirty days goes by and you don’t return or renew the material and you ignore the notices we give, we will assume you lost the items and you will get a bill from us."
"55","Macedon Public Library","FALSE","Everyone","The  decision to go fine-free was made as a result of our mission statement.  Our mission is to connect people and ideas with outstanding customer service and access to diverse materials. Charging fines for overdue materials creates an unnecessary obstacle to the  access of information.  Also, charging fines to patrons impedes the First Amendment because it places a barrier to the flow of information created by the freedom of the press. It creates a situation whereby those with means can afford to have continued access  to ideas in print, but those without the means to afford fines and penalties become restricted.  In a democracy, the free flow of information and ideas in print for all members of the community is paramount. Giving patrons the chance to return items in a timely  manner is far friendlier to both our democratic ideals and patrons.",43.067188,-77.307353,"https://macedonpubliclibrary.org/2015/07/28/thank-you/",NA
"56","Ela Area Public Library","FALSE","Everyone","Creating financial barriers to using the Library is counterproductive. We want to encourage more use, not discourage it. We think there are better ways of encouraging people to return items on time than to threaten them with financial penalties. After all, you're already paying for library access through your property taxes. Why should you owe us more money? Overall, late fees contribute about 1% of our operating revenue. Late fees have long been used as a means of encouraging users to return materials. We are fortunate that this revenue isn't critical to our operation. We have a plan to encourage returns without adding a financial penalty.",42.194986,-88.088462,"https://eapl.org/no-more-late-fees-another-reason-love-your-library",NA
"57","Arapahoe Library District","FALSE","Everyone","The change in the overdue fine policy was implemented to eliminate any barriers for our patrons to use our libraries and to access the wealth of materials and resources available. The elimination of overdue fines is another way to serve our community and encourage those who might not regularly use the library to stop by and experience what we have to offer.",39.578915,-104.838807,"https://arapahoelibraries.org/faq/fine-free/","A replacement cost will be assessed if an item is not returned within 30 days after its due date. Once the billed item is returned, the replacement cost will be waived."
