"","library_name","ulc_member","type_of_elimination","reason_for_stopping_fines","lat","long","source","policy_notes"
"58","Jeff Davis County Library","FALSE","Everyone",NA,30.588493,-103.893763,"http://www.co.davis.ut.us/docs/default-source/default-document-library/fine-free-flyer-(1).pdf?sfvrsn=fe5c53_2","This new policy applies only to overdue fines. Fee’s for damages lost materials, interlibrary loans, lost library cards and other miscellaneous library fees are not included"
"59","Saint Paul Public Library","TRUE","Everyone","Community engagement and national research reveal that fines create a barrier to library use for many people. While many library users incur late fines, the ability to pay them depends greatly on income. Those who are able to pay can keep using the library, whereas those who are unable to pay cannot. This runs counter to our public mission.",44.944103,-93.097146,"https://sppl.org/about-fine-free/",NA
"60","Oak Park Public Library","TRUE","Everyone","Policies should define how the library wants to interact with the community, said Executive Director David J. Seleb. “And this policy change is focused on access and equity. Overdue fines are a regressive method of raising revenue, they hurt the most those who can afford them the least, create stress-filled interactions, and require significant amounts of staff time to manage.”",41.889216,-87.796409,"https://oppl.org/news-events/announcements/on-june-1-we-go-fine-free/",NA
"61","Miami-Dade Public Library System","TRUE","Everyone","Wanted to decrease negative customer interactions, increase access to the library, decrease administrative time spent collecting and reconciling small amounts of money, and providing a means for patrons to have a fresh start with the library.",25.774595,-80.196846,"https://www.mdpls.org/fines-fees/fines-fees.asp",NA
"62","Sno-Isle Libraries","TRUE","Everyone","Periodic national research on library late fees and overdue issues continues to find that the costs of collecting these funds may exceed the benefits and the practice is often ineffective in reducing or eliminating overdue behaviors. It has also been determined that late fees may disproportionately impact children as library customers.",48.063603,-122.18691,"https://askus.sno-isle.org/faq/223843","Sno-Isle Libraries has not charged late fees for over 35 years."
"63","Caruthersville Public Library","FALSE","Everyone","Caruthersville Public Library feels that the goodwill of the community is worth much more than the monetary value of charging overdue fines. This is especially pertinent in Caruthersville since it  is located in the poorest county in the state, a fact that contributed to fines paid being less than 0.5% of their budget",36.184432,-89.665075,"http://cville.lib.mo.us/services/",NA
"64","Ruby M. Sisson Memorial Library","FALSE","Everyone","The biggest reason is that if people are concerned about items being overdue, and having to pay a late fee, then they may not check items.  That means that books (or other items) are kept out of the hands of all ages, including children.",37.266988,-107.017426,"https://pagosalibrary.org/borrowing-materials/","For some people, they feel the need to pay a little if they have items overdue, so we have something we call a ""Conscience Jar.""  If people want to put something in there, fine.  We certainly don't ask it, though.  Interestingly, we found years ago that the overdue revenue was approximately the same as what we get in the conscience jar, and in the meantime, it both creates good feeling towards the library, and encourages people to check things out. "
"65","Toledo Lucas County Public Library","TRUE","Everyone","For those who can afford the fines, paying a small late fee is no problem, so the overdue fines are not a particularly strong incentive. For those who can’t afford the overdue fines, they have a disproportionately negative impact. ",41.654578,-83.540117,"http://www.toledolibrary.org/policies/no-fines-policy",NA
"66","Charleston County Public Library","FALSE","Everyone","Library Director Nicolle Davies argued that outstanding fines can prevent some patrons from returning to the library, particularly low-income cardholders who can’t afford to pay. ",32.788619,-79.931161,"https://www.postandcourier.com/news/late-book-fees-eliminated-at-all-charleston-county-library-branches/article_e85e79ac-9fdb-11e8-b6d8-97789e9b7294.html","If a patron doesn't return a book within 42 days of check-out, he or she will be billed for the full cost of the item. And patrons still have to pay any fines accrued before June 20."
"67","Hartford Public Library","TRUE","Children Only","In efforts to reduce barriers to access information, technology and resources the Hartford (CT) Public Library’s Materials Lending Policy supports ease of access with reduced or eliminated fines for overdue materials.",41.762141,-72.673985,"https://www.hplct.org/library-policies/materials-lending-policies",NA
"68","Richland Library","TRUE","Everyone","Reducing access barriers and promoting equity for all.",34.004153,-81.037427,"http://www.richlandlibrary.com/borrowing-guidelines",NA
"69","Rochester Public Library","TRUE","Children and Teens Only","The library adopted the policy to address the endemic problem of poverty in its community and with the goal of increasing access and circulation of library materials among families living in poverty",43.154078,-77.608289,"https://roccitylibrary.org/spotlight/the-rochester-public-library-is-awarded-the-2017-joseph-f-shubert-library-excellence-award/",NA
"70","San Jose Public Library","TRUE","Children and Teens Only","It is the mission of San José Public Library to provide equal access to information, services, and opportunities that empower, enrich, and enhance the quality of life for all.  Fines are a barrier to that access.",37.335549,-121.885042,"https://www.sjpl.org/blog/childrens-young-adult-materials-fine-free#what","Pilot Program for FY 2018/19"
"71","Pikes Peak Library District","FALSE","Everyone","""Our mission as an organization is to eliminate barriers to information and resources, not create them,"" said Director of Library Services, Tim Blevins in a press release.",38.954008,-104.793259,"https://www.kktv.com/content/news/Pikes-Peak-Library-District-eliminating-overdue-fines-504870661.html",NA
"72","Stark County District Library","TRUE","Everyone","The no-fine policy is one piece of the district library’s effort to reposition itself so it can remain sustainable in the face of competition from the Internet, Amazon, Kindle and Netflix. Director Tena Wilson said convenience is a determining factor when people decide where to go for information, and for many patrons, fines are an inconvenience. For some patrons, fines have become a barrier, she said.“The old way of thinking was, ‘This is our stuff and we have to protect it.’ The new way of thinking is that, ‘This is your stuff and how can we help you (access it),’ ” said Wilson, noting that the district relies on a property tax levy for funding. They discovered that it cost more money in staff time for the tracking, collecting and accounting of the overdue fines than the $188,000 the district collects in penalties each year. She said they also found that the fines tend to penalize the library’s loyal customers the most. She said figures show that more than 90 percent of the district’s 102,700 active cardholders owe less than $25 in fines.",40.805544,-81.373369,"http://www.cantonrep.com/article/20140724/NEWS/140729559","Under the new no-fine policy, borrowers still will receive reminders when their library materials are due and when they have become overdue.
After the materials have been overdue for more than 28 days, the library will assume the items are lost and will send the borrower a bill for the material’s replacement cost."
"73","Toole City Library","FALSE","Everyone",NA,40.531019,-112.3022,"https://tooelecity.org/city-departments/finance/fees/#Library","The item cost is billed to the library card once an item is overdue 15 days. (This disrupts circulation until the item is returned). If the item is not returned at 30 days overdue, the account proceeds to the City attorney for legal collection."
"74","Vespasian Warner Public Library District","FALSE","Everyone","Fines were a very small part of the library’s budget. The library is located in a rural county, which makes it especially difficult for children to give books back on times. Fines are a barrier for those patrons who need it most. 
 
  ",40.154974,-88.961453,"http://www.vwarner.org/",NA
"75","Evansville-Vanderburgh Public Library","TRUE","Everyone","Fines can be a barrier for some people, especially children, and we want everyone to share in all EVPL has to offer.",37.971413,-87.565652,"http://wkdq.com/evansville-public-library-eliminating-overdue-fines/","Although there are no fines, materials will still have the usual due dates and we expect patrons will return items to the library in the same time-frame as they did before. If an item is not returned within 30 days after its due date a replacement cost will be assessed."
"76","Lansing Public Library","FALSE","Everyone","1) Fines create barriers to information. Director Debbie Albrecht cites an example of people who are looking for a job — “If they have overdue book fines, they are blocked from using the computers to job search. If your money is already limited, late fees just compound your problems.” Albrecht’s philosophy is that the library should be a resource to anyone who needs it.  2) Fines actually prevent people from returning materials. Albrecht knows that once an overdue fine reaches a certain level, she is not likely to ever see that book again: “People don’t return it because they do not want to deal with overdue fines!” By wiping away late fees, she explains, the stigma is removed and the materials are returned and made accessible to other patrons. “Some traditionalists will argue that without fines there is no incentive to return a book on time,” says Albrecht. But she counters, “Yes there is—you appeal to people’s good side.”  3) Fines are not an important source of library revenue. Lansing Public Library has seen decreased revenue from fines over the years, and Albrecht believes it will not be a hardship to replace that revenue. In fact, she already received notification that the library will be receiving $35,414 in per capita grant funds this year, which is about a $14,000 increase from the previous year. That plus an anticipated increase in revenue from printing and copying done by library patrons will more than make up for the revenue from fines. ",41.566202,-87.549574,"https://lansingpl.org/news/why-lansing-public-library-went-fine-free-starting-may-1",NA
"77","Racine Public Library","FALSE","Everyone","Fine collection does not support our mission to enhance our community’s quality of life by providing information, ideas and creative works.",42.725759,-87.780752,"https://www.racinelibrary.info/about-the-library/racine-public-library-goes-fine-free/",NA
"78","Portland Public Library","TRUE","Children Only","This program is designed to provide additional resources to young Portlanders to enhance literacy and love of reading, learning and engaging.",43.657848,-70.259265,"https://www.portlandlibrary.com/highlight/seed-cards/","Part of the SEED card program"
"79","Contra Costa County Library","TRUE","Everyone","By eliminating fines, the library is removing barriers and making access easy, equitable and enjoyable for everyone. “Our libraries are open for the entire community to take advantage of all they have to offer,” said Contra Costa County Supervisor Karen Mitchoff. “Saying goodbye to fines gives everyone an opportunity to restart their relationship with the library.” ",37.99816,-122.116285,"http://ccclib.org/pressroom/pressreleases/2018/Fine%20Elimination.pdf",NA
"80","East Baton Rouge Parish Library","TRUE","Children and Seniors 55+",NA,30.443984,-91.107196,"http://ebrpl.libguides.com/c.php?g=44655&p=282555","Children's books must be checked out on a child's card"
"81","Converse County Library","FALSE","Everyone","Converse County Library subscribes to a fine-free philosophy. The library does not charge overdue fines, but it is the borrower's responsibility to be aware of materials' due dates. ",42.761197,-105.383842,"http://www.yourccl.org/212/Circulation-Policies",NA
"82","Branch District Library","FALSE","Everyone","At BDL we believe in removing barriers to library service wherever possible, and removing financial barriers will help many more people take advantage of library services.",41.940214,-85.000223,"https://www.branchdistrictlibrary.org/pdf/annual_reports/2018_annual_report.pdf",NA
"83","Whatcom County Library System","FALSE","Children and Teens Only",NA,48.830422,-122.539526,"https://www.wcls.org/",NA
"84","North Baltimore library","FALSE","Everyone",NA,41.183936,-83.677954,"https://www.sent-trib.com/news/no-more-fines-at-north-baltimore-library/article_8c4df630-0aeb-11e9-ad96-efe37f84e1cb.html",NA
"85","Peninsula Library System","FALSE","Children and Teens Only","""Peninsula libraries offer an incredible array of collections, services, and events designed to help children and teens experience the joy of reading, build a love of learning, and succeed in school. Owing fines is a barrier to accessing these wonderful library activities, especially for families with limited financial resources,"" said Derek Wolfgram, Peninsula Library System Administrative Council Chair and Redwood City Public Library Director. ""We want to make sure every child and teenager in San Mateo County has every opportunity to benefit from their local libraries,"" An examination of Peninsula Library System user data revealed that 13,530 juvenile library cardholders, or 11% of all juvenile cardholders, were unable to use library services due to the amount of money owed on their library accounts. While juvenile patrons make up 25% of the total cardholders in PLS, they represent 32% of all patrons with a financial block.",37.5694,-122.327445,"http://www.plsinfo.org/Fines-Fees",NA
"86","Fargo Public Library","FALSE","Children Only","For many, overdue fines and late fees are a barrier that stops children and families from accessing and benefiting from the resources the Fargo Public Library offers. With this initiative, the library hopes to increase access to books and reading, boost literacy and remove barriers for all children in Fargo.  “The Fargo Public Library is excited to reduce barriers for young readers by removing overdue fines on children’s items,” states Library Director Tim Dirks. “The library’s strategic plan has identified the reduction of barriers to library services as a major goal for the organization and we look forward to further changes to accomplish this goal.  Research shows that materials are generally returned on time and the lack of fines does encourage youngsters to check out more books.""",46.877319,-96.783765,"https://www.am1100theflag.com/news/447-fargo-public-library-eliminates-overdue-fines-children%E2%80%99s-items","The library will continue to charge patrons fees for lost, missing or damaged items."
"87","Grand Rapids Public Library","TRUE","Children and Teens Only","“The decision to eliminate fines on youth material is about equity and access,” remarked GRPL Director John McNaughton. “We know that 75% of Grand Rapids Public School 3rd graders are not proficient in reading. This is a community problem that we can help solve. By removing a large barrier to using the library, we can get books in homes and help to develop a daily reading habit. Our goal is to emphasize the return of library material rather than penalizing our youngest patrons. Using the library should not be a source of stress for families. Life gets complicated. Take an extra day or two if needed. We will still be here for you.”",42.964618,-85.666021,"https://www.grpl.org/kids-go-fine-free/","Old fines also forgiven."
"88","Dwight Foster Public Library","FALSE","Children and Young Adults","The mission of the Dwight Foster Public Library is to help people achieve their full potential by being a leading resource for information, education, culture, and recreation.  We believe in access to information.  Unfortunately, some families were unable to utilize the library’s many resources because their library cards were blocked by overdue fines.  Life gets busy and sometimes, despite our best intentions, we return our library books late.  This happens to everyone.  Some families are able to easily pay overdue fines.  For other families, this is more of a financial burden.  We hope that by eliminating overdue fines on children’s and young adult materials, small mistakes will not prevent families from using the library.",NA,NA,"https://www.fortlibrary.org/fine-free-fa/",NA
"89","Denver Public Library","FALSE","Everyone","“Eliminating overdue fines is paramount to providing equitable access for all customers,” said City Librarian Michelle Jeske. “Too often, fines penalize the most vulnerable families and individuals who can least afford them; we want to reverse this trend and get community members back into our buildings to use materials that enhance their quality of life and education.” Research shows that the removal of overdue fines can have a dramatic effect of bringing back customers. Similar fine elimination programs have been successfully implemented in other U.S. cities recently, including Salt Lake City and Baltimore.",NA,NA,"https://www.denverlibrary.org/blog/library-news/chrish/denver-public-library-proposes-going-fine-free-2019",NA
"90","Sheldon Public Library","FALSE","Everyone","""We're trying to provide free access,"" said Library Director Nicole Morgan",NA,NA,"https://www.sheldon.lib.ia.us/images/programs/fine-free/view",NA
"91","Dallas Public Library","TRUE","Everybody","""The library's mission is to provide access for all,"" Dallas Public Library Director Jo Giudice said in a statement. ""Late fines create barriers by punishing people who are unable to pay them. Eliminating fines is an issue of equity.""",NA,NA,"https://www.nbcdfw.com/news/local/Dallas-City-Council-Axes-Librarys-Overdue-Fines-Plans-to-Zero-Out-Past-Fines-510324101.html",NA
"92","Canyon Area Library","FALSE","Everybody","“The idea is to be as inviting as possible and to get as many people to come into the library and take advantage of the services,” said Jon Behrens, Interim City Manager for the City of Canyon. “Across the country, as fines are placed on people, sometimes that becomes a roadblock for them.”",NA,NA,"https://www.newschannel10.com/2019/05/27/canyon-area-library-is-now-fine-free/",NA
"93","Pioneer Library System","TRUE","Children and Teens","“We recognize that eliminating fines on youth materials will have a small impact on system revenue,” said PLS Executive Director Lisa Wells. “But the feeling is that the amount is manageable given the outstanding benefits we see in reopening access to our younger customers. “Ultimately revenue from these fines adds up to less than a quarter of one percent of our operating budget,” Wells added, “and our conclusion is that the roadblock is greater than the revenue for this group of most impressionably young minds.”",NA,NA,"https://www.urbanlibraries.org/files/Pioneer_FineFree_PR-1.pdf","Forgave all children and teen fines during National Library Week"
"94","Montclair Public Library","FALSE","Everyone","Fines disproportionately affect children and people who are disadvantaged socioeconomically.",NA,NA,"http://www.montclairlibrary.org/wp-content/uploads/2019/05/Fine-Free-FAQ.pdf",NA
"95","Smithers Public Library","FALSE","Everyone","Bolstered by the idea that encouraging community members to use the services and materials available at their public library is more important than the small portion of annual revenue generated by overdue fees, the library board voted to abolish charges on all items returned after their due date.",NA,NA,"https://www.interior-news.com/community/smithers-library-goes-fine-free/",NA
"96","Pemberton & District Public Library","FALSE","Everyone",NA,NA,NA,"https://pemberton.bc.libraries.coop/using-the-library/policies/loan-periods-late-fines/",NA
"97","Whistler Public Library","FALSE","Everyone","“Fines are less than 1% of our operating revenue and do not represent the relationship we want to have with the community, which is one of altruism and good will. The practice is no longer keeping up with the mission,” said Gord Annand, Whistler Public Library Board Chair.  “It is important to acknowledge that people have already paid for these resources with their tax dollars. Fines often discourage access to the library by the very people who need it the most. We know that a vibrant library correlates to a healthy community and we want people to feel positively about the library” said Elizabeth Tracy, Library Director.",NA,NA,"https://www.whistler.ca/media/news/whistler-public-library-discontinue-late-fines",NA
"98","Jackson County Library Services","FALSE","Everyone","""One of the promises we made to the community was to remove barriers to access,"" said Susan Bloom, assistant library director for administrative services. ""We wanted to look at immediate ways to make sure all of the community can access the library and materials.""",NA,NA,"https://mailtribune.com/news/happening-now/jackson-county-libraries-say-goodbye-to-late-fees",NA
"99","Altadena Libraries","FALSE","Everyone",NA,NA,NA,"https://www.altadenalibrary.org/borrowing/",NA
"100","Maricopa County Library District","FALSE","Everyone","“Libraries are an important resource for children and adults to learn about and connect with their community and world,” said Bill Gates, Chairman of the Maricopa County Board of Supervisors, District 3. “This is why we have decided to discontinue collecting daily overdue fines and to waive any existing fines that can build up and lead to blocked accounts for people who can least afford them, giving everyone a fresh start.""",NA,NA,"https://www.fhtimes.com/news/local_news/county-eliminates-overdue-library-fines/article_f53d3b66-818c-11e9-a200-0feba331bc87.html",NA
"101","Columbus Public Library","FALSE","Everyone","According to library staffer Heather, “This is our new ‘life happens’ policy. Whatever life throws you, we’ll work with you.” Library Board and staff members know due dates are sometimes hard to follow. “Kids can’t find a book and you know it’s in their room somewhere. The weather was so bad you didn’t dare go out? Accident, illness, or injury? No problem,” said Heather.",NA,NA,"https://www.wiscnews.com/columbusjournal/announcements/community/columbus-public-library-no-longer-charging-for-overdue-fines/article_d60f2d05-1236-5ee6-843d-c53ddc035249.html",NA
"102","Iowa City Public Library","FALSE","Children and Young Adults","“Creating financial barriers to public library use is counterproductive and goes against the Library’s mission to encourage more use, not less,” Director Elsworth Carman said. “We want to remove barriers that stop people from using the Library, and we’re pleased to have the support of the City of Iowa City council members and our Library Board of Trustees to do so.”",NA,NA,"https://www.icpl.org/articles/icpl%E2%80%99s-children%E2%80%99s-young-adult-materials-be-fine-free",NA
"103","Tomkins Cove Public Library","FALSE","Everyone",NA,NA,NA,"https://www.tomkinscovelibrary.org/single-post/2018/03/02/Exciting-News-for-Tomkins-Cove",NA
"104","Albany Public Library","FALSE","Everyone","“Albany Public Library is joining the ranks of libraries nationwide that are removing fines for overdue items to make it easier for people to borrow books, DVDS, and other materials for education and entertainment,” said Scott C. Jarzombek, APL executive director.  “Late fines are a poor incentive for people to bring books back on time. And, they keep people who are unable to pay those fines away from the library. By eliminating late fines, we hope to bring people back to the library and make it easier for them to borrow and use our collection,”",NA,NA,"https://www.albanypubliclibrary.org/blog/apl-to-eliminate-late-fines-for-books-media/",NA
"105","Bangor Public Library","FALSE","Everyone","For library director Barbara McDade, abolishing daily late fees was a simple solution to a larger problem. The majority of patrons that are late on books are less than one month late, so eliminating a barrier to regular usage for most patrons made sense to the library’s board of directors, she said.",NA,NA,"https://bangordailynews.com/2018/01/22/news/bangor/bangor-public-library-abolishes-late-fees-for-overdue-books/",NA
"106","Frisco Public Library","TRUE","Everyone",NA,NA,NA,"https://www.friscolibrary.com/FAQ",NA
"107","Joplin Public Library","FALSE","Everyone","Director Jacque Gage said the move allows library staff members to be more responsive to patrons, who will be free to help find and check out books instead of spending time determining the amounts of fines.In addition to helping low- or no-income patrons, the policy shift could help people with limited mobility or means of transportation.",NA,NA,"https://www.joplinglobe.com/news/fine-with-no-fines-joplin-public-library-to-eliminate-an/article_d5aad31e-94e1-11e8-9978-a77f5de6b58c.html",NA
"108","Skokie Public Library","TRUE","Youth Materials","Removing access barriers for young readers.",NA,NA,"https://skokielibrary.info/blog/201/no-more-overdue-fines-on-youth-materials/","Patrons with materials that are more than three weeks overdue will have their card frozen and will be unable to check out additional materials until the overdue item(s) are returned or paid for (if the materials have been lost)."
"109","Lyon Township Public Library","FALSE","Everyone","""... when we took a really hard look at the impact of overdue fees, we found that they presented a serious barrier to library use. """,NA,NA,"https://www.lyon.lib.mi.us/wp-content/uploads/2019/05/Fine-Free-WEBSITE-2019-1-1.pdf","Items that are more than 21 days past due will be considered lost and charged to the patron."
"110","Milford Public Library","FALSE","Everyone",NA,NA,NA,"http://www.milfordlibrary.info/images/about/Newsletter/MilfordLibraryNewsletter_Nov18_ForWeb.pdf","One year trial period"
"111","Cromaine Hartland Library","FALSE","Everyone",NA,NA,NA,"https://www.cromaine.org/info-resources?kw=what+are+the+fines+for+overdue+items",NA
"112","Redford Township District Library","FALSE","Everyone","""The savings that we had in energy savings from the LED conversion made up the difference, so we were able to pass that savings on to the patrons,"" Library Director Garrett Hungerford said.",NA,NA,"https://www.hometownlife.com/story/news/local/redford/2019/04/01/redford-library-eliminate-fines-materials-returned-late/3331199002/",NA
"113","Garden City Library","FALSE","Everyone","We want ALL people to be able to use our services without money creating a barrier.",NA,NA,"http://www.gardencitylib.org/index.php/free-to-read-garden-city-public-library-goes-fine-free/",NA
"114","Groton Public Library","FALSE","Children",NA,NA,NA,"https://grotonpubliclibrarydotnet.files.wordpress.com/2017/08/circulation-policy.pdf",NA
"115","Lansing Community Library","FALSE","Everyone","""This ensures that all people have access to library books and materials, which is our primary purpose as a public library.""",NA,NA,"https://www.lansinglibrary.org/about",NA
"116","Newfield Public Library","FALSE","Everyone",NA,NA,NA,"http://www.newfieldpubliclibrary.org/NPL%20Fine%20Free%20FAQ.pdf",NA
"117","Southworth Library Association","FALSE","Everyone","""Our Library Director  says, 'We believe that getting rid of late fees helps to create an environment of positive interaction and universal use.'""",NA,NA,"https://southworthlibrary.org/southworth-is-now-fine-free/",NA
"118","Tompkins County Public Library","FALSE","Everyone",NA,NA,NA,"https://www.tcpl.org/using-library/using-library/fine-free-faq",NA
"119","Ulysses Philomathic Library","FALSE","Everyone","""We’re a library, we have to make sure we have equal services for everyone,” library director Annette Birdsall said.",NA,NA,"https://www.ithaca.com/ulysses-philomathic-library-goes-fine-free/article_3ec7b1fa-7d1e-11e7-8139-d7a09f7cb101.html",NA
"120","Tulare County Library","FALSE","Everyone","""County Librarian Darla Wegener reported that charging late fees is not an incentive for returning books and materials on time but actually creates a barrier for patrons.""",NA,NA,"Press Release",NA
"121","Sonoma County Library","TRUE","Everyone","“Research shows that charging fines doesn’t make a difference in whether people bring back books on time,” said Sarah Vantrease, Public Services Division Manager for the library. “Instead, we see that fines drive people away.”",NA,NA,"https://sonomalibrary.org/blogs/news",NA
"122","Kansas City Library","TRUE","Everyone","""To put it simply: more access to information for everyone.""",NA,NA,"https://kclibrary.org/finefree","The library calls the new policy ""Freedom from Fines."""
"123","Kent District Library","TRUE","Everyone","“Each year, hundreds of patrons stop using library services entirely because they are deterred by late fines,” said Michelle Boisvenue-Fox, Director of Programming, Outreach and Collection Services for KDL.",NA,NA,"https://www.kdl.org/blog/kent-district-library-going-fine-free-june-1",NA
"124","Santa Barbara Public Library","FALSE","Everyone","“Santa Barbara Public Library’s mission is to best serve its community and provide equitable access to all, and overdue fines were in opposition to this goal,” Library Director Jessica Cadiente said in a press release.",NA,NA,"https://ksby.com/news/local-news/2019/07/01/overdue-fees-eliminated-at-santa-barbara-public-library",NA
"125","Johnstown Public Library","FALSE","Everyone","Increasing access and encouraging use.",NA,NA,"http://www.johnstownpubliclibrary.info/borrowing.html",NA
"126","Culpeper County Library","FALSE","Everyone","Decreasing access barriers",NA,NA,"http://tlc.library.net/culpeper/contentpages.asp?loc=90","""Culpeper County Library is overdue fine free except for high value items like Verizon Jetpack WiFi units or Inter-Library Loan, which are $1/day. """
"127","San Francisco Public Library","TRUE","Everyone","""Library fines are a barrier to equitable access of resources and services, disproportionately affect low-income San Franciscans, create conflict between patrons and the library, require an inefficient use of staff time and do not consistently ensure borrowed materials end up back on library shelves.""",NA,NA,"https://sfpl.libanswers.com/faq/264039","Current suspension is temporary, and is pending approval of a permanent change by the city's Board of Supervisors and the mayor."
"128","Chattahoochee Valley Libraries","TRUE","Everyone","""... library’s mission to make its collection as accessible as possible to as many folks in the Columbus area as possible — so they use it as often as possible.""",NA,NA,"https://www.ledger-enquirer.com/news/local/article233031552.html",NA
"129","Marin County Free Library","TRUE","Everyone","""To make all our services more equitable and be as inclusive as possible.""",NA,NA,"https://marinlibrary.org/finefree/","""Items owned by other MARINet libraries such as San Rafael, Larkspur, San Anselmo, Sausalito, Belvedere-Tiburon, and Mill Valley, may still be subject to late fees."""
"130","Clifton Springs Library","FALSE","Everyone","""To provide free and equal access to cultural and educational experiences.""",NA,NA,"https://cliftonspringslibrary.files.wordpress.com/2019/06/summer-2019-newsletter-final.pdf","Ovderdue fines eliminated for print materials and audiobooks."
"131","Cleveland Public Library","TRUE","Everyone","“We want to remove barriers, not block people from accessing the Library,” said Cleveland Public Library Executive Director Felton Thomas, Jr",NA,NA,"https://cpl.org/cleveland-public-library-goes-fine-free-beginning-in-july/",NA
"132","Kitsap Regional Library","FALSE","Everyone","""We know that fines often inhibit people from coming in and using the library and we were very interested in having that barrier removed,"" said KRL Library Director Jill Jean.",NA,NA,"https://www.kitsapsun.com/story/news/local/2018/08/16/kitsap-regional-library-late-fines-property-tax-levy-school/780901002/",NA
"133","Alameda County Library","TRUE","Everyone","Studies have shown that library fines create significant barriers to library access, especially for families on fixed incomes and among children and teens.",NA,NA,"https://guides.aclibrary.org/blog/Fine-Free-for-All",NA
